tmdb_id,title,overview,release_date,vote_average,vote_count,poster_path,genres,cast,director,keywords,runtime,budget,revenue,year,poster_url
1318917,Chasing the Wind,A focused city worker and a laid-back surfer - both heirs to the same company - find they have plenty in common when they join forces in the boardroom.,2025-01-09,6.3,35,/pg6sFi0pv8cPelkJGLZqmUxh24F.jpg,Romance,Hande Erçel|Barış Arduç|Gözde Mutluer|Tuğrul Tülek|Şebnem Sönmez,Engin Erden,romantic drama,96,0,0,2025.0,https://image.tmdb.org/t/p/w500/pg6sFi0pv8cPelkJGLZqmUxh24F.jpg
663558,New Gods: Nezha Reborn,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",2021-02-06,8.1,469,/np4ScPY04HESKBbpexwstKsipKe.jpg,Animation|Fantasy|Action,Yang Tianxiang|Zhang He|Xuan Xiaoming|Li Shimeng|Keer Zhu,Zhao Ji,based on novel or book|reincarnation|dragon|xianxia|3d animation|feng shen yanyi|nezha character|nezha|donghua,116,0,70000000,2021.0,https://image.tmdb.org/t/p/w500/np4ScPY04HESKBbpexwstKsipKe.jpg
11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977-05-25,8.206,21308,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,Adventure|Action|Science Fiction,Mark Hamill|Harrison Ford|Carrie Fisher|Peter Cushing|Alec Guinness,George Lucas,empire|galaxy|rebellion|android|hermit|smuggling (contraband)|freedom|rebel|rescue mission|space,121,11000000,775398007,1977.0,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
12,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",2003-05-30,7.817,19760,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,Animation|Family,Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Geoffrey Rush,Andrew Stanton,"fish|sydney, australia|parent child relationship|anthropomorphism|harbor|underwater|shark|pelican|fish tank|great barrier reef",100,94000000,940335536,2003.0,https://image.tmdb.org/t/p/w500/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-06-23,8.468,28383,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,Comedy|Drama|Romance,Tom Hanks|Robin Wright|Gary Sinise|Sally Field|Mykelti Williamson,Robert Zemeckis,"new year's eve|vietnam war|vietnam veteran|mentally disabled|friendship|usa president|washington dc, usa|post-traumatic stress disorder (ptsd)|waitress|based on novel or book",142,55000000,677387716,1994.0,https://image.tmdb.org/t/p/w500/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
14,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",1999-09-15,8.007,12439,/wby9315QzVKdW9BonAefg8jGTTb.jpg,Drama,Kevin Spacey|Annette Bening|Thora Birch|Wes Bentley|Mena Suvari,Sam Mendes,estate agent|adultery|coming out|first time|virgin|cheating|parent child relationship|age difference|midlife crisis|cheerleader,122,15000000,356296601,1999.0,https://image.tmdb.org/t/p/w500/wby9315QzVKdW9BonAefg8jGTTb.jpg
8204,The Spiderwick Chronicles,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",2008-02-14,6.661,2712,/uN7MUMaCXfa8DbMMp61A8iXEcEG.jpg,Family|Adventure|Fantasy|Drama,Freddie Highmore|Sarah Bolger|David Strathairn|Mary-Louise Parker|Nick Nolte,Mark Waters,sibling relationship|parent child relationship|elves|fairy|twin brother|family relationships|single mother|alternative reality|father daughter reunion|hidden truth,95,90000000,164200000,2008.0,https://image.tmdb.org/t/p/w500/uN7MUMaCXfa8DbMMp61A8iXEcEG.jpg
15,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",1941-04-17,7.999,5708,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,Mystery|Drama,Orson Welles|Joseph Cotten|Dorothy Comingore|Ray Collins|George Coulouris,Orson Welles,media tycoon|florida|art collector|newspaper|capitalist|journalist|sleigh|banker|american dream|failure,119,839727,23218000,1941.0,https://image.tmdb.org/t/p/w500/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg
1155089,Justice League: Crisis on Infinite Earths Part One,"Death is coming. Worse than death: oblivion. Not just for our Earth, but for everyone, everywhere, in every universe! Against this ultimate destruction, the mysterious Monitor has gathered the greatest team of Super Heroes ever assembled. But what can the combined might of Superman, Wonder Woman, Batman, The Flash, Green Lantern and hundreds of Super Heroes from multiple Earths even do to save all of reality from an unstoppable antimatter armageddon?!",2024-01-08,7.331,359,/zR6C66EDklgTPLHRSmmMt5878MR.jpg,Animation|Science Fiction|Action,Matt Bomer|Jensen Ackles|Darren Criss|Meg Donnelly|Stana Katic,Jeff Wamester,superhero|villain|end of the world|based on graphic novel|superhero team|parallel universe|dc animated movie universe,93,70000000,0,2024.0,https://image.tmdb.org/t/p/w500/zR6C66EDklgTPLHRSmmMt5878MR.jpg
18,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",1997-05-02,7.6,11094,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,Science Fiction|Action|Adventure,Bruce Willis|Milla Jovovich|Gary Oldman|Ian Holm|Chris Tucker,Luc Besson,new york city|flying car|taxi|egypt|race against time|saving the world|cyborg|dystopia|anti hero|stowaway,126,90000000,263920180,1997.0,https://image.tmdb.org/t/p/w500/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg
